Time	 CoPx	 Distance(d)	 Abs Distance	 Velocity
216089.8	-0.4906	-0.5103	0.5103	-0.0243
216100.2	0.0098	0.5004	0.5004	0.0481
216119.9	1.348	1.3382	1.3382	0.0679
216136.2	-0.5111	-1.8591	1.8591	-0.1141
216156.3	-0.2115	0.2996	0.2996	0.0149
216166.2	-0.2115	0.0	0.0	0.0
216185.5	0.1426	0.3541	0.3541	0.0183
216205.7	1.8523	1.7096	1.7096	0.0846
216216.0	-0.5111	-2.3634	2.3634	-0.2295
216237.3	-0.5111	0.0	0.0	0.0
216248.0	-2.1425	-1.6314	1.6314	-0.1525
216267.5	-0.2506	1.892	1.892	0.097
216292.9	2.0537	2.3042	2.3042	0.0907
216304.2	-0.4073	-2.461	2.461	-0.2178
216324.8	-0.0097	0.3976	0.3976	0.0193
216336.1	0.1574	0.1671	0.1671	0.0148
216356.5	0.1027	-0.0547	0.0547	-0.0027
216366.5	-0.335	-0.4377	0.4377	-0.0438
216385.9	-0.7114	-0.3764	0.3764	-0.0194
216405.4	2.0537	2.765	2.765	0.1418
216415.4	-0.3223	-2.376	2.376	-0.2376
216435.1	0.1512	0.4735	0.4735	0.024
216451.3	0.1512	0.0	0.0	0.0
216472.5	-0.7914	-0.9426	0.9426	-0.0445
216484.3	-0.4936	0.2978	0.2978	0.0252
216507.2	0.1574	0.651	0.651	0.0284
216518.1	-0.3168	-0.4742	0.4742	-0.0435
216538.7	0.1512	0.468	0.468	0.0227
216548.8	-0.0097	-0.1609	0.1609	-0.0159
216569.0	0.1829	0.1926	0.1926	0.0095
216589.1	0.1621	-0.0208	0.0208	-0.001
216604.6	0.1426	-0.0194	0.0194	-0.0013
216615.0	-0.4906	-0.6332	0.6332	-0.0609
216635.1	-0.2115	0.2791	0.2791	0.0139
216655.5	0.1426	0.3541	0.3541	0.0174
216665.6	-0.2809	-0.4236	0.4236	-0.0419
216685.3	0.1426	0.4236	0.4236	0.0215
216705.8	0.1707	0.028	0.028	0.0014
216717.3	-0.2115	-0.3822	0.3822	-0.0332
216737.1	0.0694	0.2809	0.2809	0.0142
216747.5	-0.0291	-0.0985	0.0985	-0.0095
216773.3	-0.0291	0.0	0.0	0.0
216783.4	2.1205	2.1496	2.1496	0.2128
216803.0	0.5997	-1.5208	1.5208	-0.0776
216822.8	1.8377	1.2379	1.2379	0.0625
216833.3	2.5543	0.7167	0.7167	0.0683
216852.8	-2.028	-4.5823	4.5823	-0.235
216873.0	0.0859	2.1139	2.1139	0.1046
216883.3	-0.011	-0.0969	0.0969	-0.0094
216903.7	0.4461	0.4571	0.4571	0.0224
216926.5	0.0075	-0.4385	0.4385	-0.0192
216937.6	-0.0002	-0.0078	0.0078	-0.0007
216948.0	-0.4728	-0.4726	0.4726	-0.0454
216967.5	0.4623	0.9351	0.9351	0.048
216987.0	-0.011	-0.4733	0.4733	-0.0243
217006.5	0.1426	0.1536	0.1536	0.0079
217016.7	0.1406	-0.002	0.002	-0.0002
217036.4	0.2028	0.0621	0.0621	0.0032
217056.5	-0.4441	-0.6469	0.6469	-0.0322
217072.3	-0.5111	-0.067	0.067	-0.0042
217082.5	-0.3886	0.1225	0.1225	0.012
Max Range is: 4.582339178242358
Mean Range is: 0.5867497693286986
Peak Velocity is: 0.21282701779308164
Mean Velocity is: -0.0039026898169091054

Time	 CoPy	 Distance(d)	 Abs Distance	 Velocity
214048.0	-0.0086
214067.7	-0.0086	0.0	0.0	0.0
214088.2	-0.3894	-0.3809	0.3809	-0.0186
214098.7	-0.327	0.0624	0.0624	0.0059
214124.1	0.4031	0.7301	0.7301	0.0287
214133.9	-0.083	-0.4862	0.4862	-0.0496
214153.9	1.9908	2.0738	2.0738	0.1037
214173.5	0.1542	-1.8366	1.8366	-0.0937
214183.9	0.1483	-0.006	0.006	-0.0006
214203.5	-0.5069	-0.6552	0.6552	-0.0334
214223.2	-0.5069	0.0	0.0	0.0
214233.9	-0.0079	0.4991	0.4991	0.0466
214253.7	-0.004	0.0039	0.0039	0.0002
214269.8	0.4031	0.4071	0.4071	0.0253
214289.5	0.1404	-0.2628	0.2628	-0.0133
214299.7	-0.4793	-0.6196	0.6196	-0.0607
214319.5	-0.2612	0.2181	0.2181	0.011
214339.4	-0.3023	-0.0411	0.0411	-0.0021
214349.3	-0.2946	0.0077	0.0077	0.0008
214369.1	0.0096	0.3042	0.3042	0.0154
214388.9	0.6799	0.6703	0.6703	0.0339
214399.2	-0.083	-0.7629	0.7629	-0.0741
214424.7	-0.0079	0.0752	0.0752	0.0029
214436.5	-0.2917	-0.2838	0.2838	-0.0241
214456.4	-0.0079	0.2838	0.2838	0.0143
214466.2	0.046	0.0539	0.0539	0.0055
214485.9	-0.4793	-0.5252	0.5252	-0.0267
214505.7	0.1621	0.6414	0.6414	0.0324
214516.0	0.4537	0.2916	0.2916	0.0283
214535.8	-0.0079	-0.4616	0.4616	-0.0233
214555.8	0.5476	0.5554	0.5554	0.0278
214566.4	-0.0261	-0.5737	0.5737	-0.0541
214583.0	0.4537	0.4798	0.4798	0.0289
214609.7	0.0097	-0.4441	0.4441	-0.0166
214620.3	0.1404	0.1307	0.1307	0.0123
214641.1	-0.5069	-0.6473	0.6473	-0.0311
214651.0	-0.2853	0.2217	0.2217	0.0224
214670.7	0.5674	0.8527	0.8527	0.0433
214691.1	0.1404	-0.4271	0.4271	-0.0209
214701.9	0.6031	0.4628	0.4628	0.0428
214722.6	0.1536	-0.4496	0.4496	-0.0217
214738.4	-0.0086	-0.1621	0.1621	-0.0103
214748.7	1.7769	1.7854	1.7854	0.1733
214769.0	2.2841	0.5072	0.5072	0.025
214789.4	1.9908	-0.2933	0.2933	-0.0144
214800.1	0.1483	-1.8425	1.8425	-0.1722
214820.7	-0.3172	-0.4654	0.4654	-0.0226
214842.0	0.0216	0.3387	0.3387	0.0159
214852.4	1.3306	1.3091	1.3091	0.1259
214873.3	-0.327	-1.6576	1.6576	-0.0793
214889.5	1.2806	1.6075	1.6075	0.0992
214899.9	-0.9109	-2.1914	2.1914	-0.2107
214919.6	-0.4696	0.4413	0.4413	0.0224
214939.1	0.046	0.5156	0.5156	0.0264
214949.0	0.046	0.0	0.0	0.0
214968.2	0.046	0.0	0.0	0.0
214988.0	0.046	0.0	0.0	0.0
215007.6	-0.6472	-0.6932	0.6932	-0.0354
215017.7	-0.9709	-0.3237	0.3237	-0.032
215043.4	-0.7417	0.2291	0.2291	0.0089
215055.6	-0.4106	0.3312	0.3312	0.0271
215065.4	-0.4927	-0.0821	0.0821	-0.0084
215085.3	-0.4927	0.0	0.0	0.0
215105.3	-0.2547	0.238	0.238	0.0119
215115.6	-0.6472	-0.3925	0.3925	-0.0381
215135.2	-0.2512	0.396	0.396	0.0202
215154.8	0.4894	0.7407	0.7407	0.0378
215164.9	0.6491	0.1597	0.1597	0.0158
215184.9	-0.0079	-0.657	0.657	-0.0328
215200.7	-0.0174	-0.0096	0.0096	-0.0006
215220.2	-0.3224	-0.305	0.305	-0.0156
215239.7	-0.3833	-0.0609	0.0609	-0.0031
215249.7	-0.9292	-0.5459	0.5459	-0.0546
215270.3	-0.5069	0.4223	0.4223	0.0205
215289.9	-0.3912	0.1158	0.1158	0.0059
215300.1	-0.0174	0.3738	0.3738	0.0366
215319.8	-0.8298	-0.8124	0.8124	-0.0412
215339.5	-0.3577	0.4722	0.4722	0.024
215355.9	0.0755	0.4332	0.4332	0.0264
215366.1	-0.4531	-0.5286	0.5286	-0.0518
215385.9	0.1857	0.6388	0.6388	0.0323
215406.3	0.205	0.0193	0.0193	0.0009
215416.7	0.0551	-0.1499	0.1499	-0.0144
215437.0	-0.0215	-0.0766	0.0766	-0.0038
215457.3	-0.2917	-0.2702	0.2702	-0.0133
215468.7	1.3363	1.628	1.628	0.1428
215482.4	-0.4106	-1.7469	1.7469	-0.1275
215509.0	0.0216	0.4322	0.4322	0.0162
215519.4	-0.0086	-0.0301	0.0301	-0.0029
215539.0	-0.0086	0.0	0.0	0.0
215548.7	-0.2029	-0.1943	0.1943	-0.02
215569.7	-0.0086	0.1943	0.1943	0.0093
215590.1	0.205	0.2135	0.2135	0.0105
215600.6	-0.5069	-0.7119	0.7119	-0.0678
215620.9	0.009	0.5159	0.5159	0.0254
215631.3	-0.4793	-0.4883	0.4883	-0.0469
215651.5	-0.2917	0.1875	0.1875	0.0093
215667.8	-0.5069	-0.2152	0.2152	-0.0132
215688.5	-0.5069	0.0	0.0	0.0
215698.5	0.002	0.509	0.509	0.0509
215718.5	-0.0103	-0.0123	0.0123	-0.0006
215738.6	0.2164	0.2267	0.2267	0.0113
215748.8	0.0803	-0.136	0.136	-0.0133
215775.6	0.1992	0.1188	0.1188	0.0044
215786.0	-0.7004	-0.8996	0.8996	-0.0865
215806.7	0.1404	0.8408	0.8408	0.0406
215823.2	-0.4866	-0.6269	0.6269	-0.038
215833.3	0.4855	0.972	0.972	0.0962
215852.9	0.002	-0.4834	0.4834	-0.0247
215873.4	-0.2926	-0.2946	0.2946	-0.0144
215884.9	-0.2029	0.0897	0.0897	0.0078
215904.8	0.1404	0.3432	0.3432	0.0172
215915.0	-0.3865	-0.5268	0.5268	-0.0517
215934.6	0.1404	0.5268	0.5268	0.0269
215954.2	-0.0079	-0.1482	0.1482	-0.0076
215964.5	-0.5069	-0.4991	0.4991	-0.0485
215990.2	-0.0079	0.4991	0.4991	0.0194
216000.3	-1.9725	-1.9646	1.9646	-0.1945
216019.6	-0.1503	1.8221	1.8221	0.0944
216039.3	-0.3349	-0.1845	0.1845	-0.0094
216049.1	-0.0086	0.3263	0.3263	0.0333
216068.8	0.0216	0.0301	0.0301	0.0015
216089.8	-0.4866	-0.5081	0.5081	-0.0242
216100.2	0.0119	0.4985	0.4985	0.0479
216119.9	1.2944	1.2825	1.2825	0.0651
216136.2	-0.5069	-1.8014	1.8014	-0.1105
216156.3	-0.2029	0.3041	0.3041	0.0151
216166.2	-0.2029	0.0	0.0	0.0
216185.5	0.1404	0.3432	0.3432	0.0178
216205.7	1.7823	1.6419	1.6419	0.0813
216216.0	-0.5069	-2.2892	2.2892	-0.2223
216237.3	-0.5069	0.0	0.0	0.0
216248.0	-2.0839	-1.577	1.577	-0.1474
216267.5	-0.2512	1.8327	1.8327	0.094
216292.9	1.9908	2.242	2.242	0.0883
216304.2	-0.405	-2.3959	2.3959	-0.212
216324.8	-0.0079	0.3972	0.3972	0.0193
216336.1	0.1543	0.1622	0.1622	0.0144
216356.5	0.1015	-0.0528	0.0528	-0.0026
216366.5	-0.3349	-0.4364	0.4364	-0.0436
216385.9	-0.7004	-0.3655	0.3655	-0.0188
216405.4	1.9908	2.6912	2.6912	0.138
216415.4	-0.3224	-2.3132	2.3132	-0.2313
216435.1	0.1483	0.4707	0.4707	0.0239
216451.3	0.1483	0.0	0.0	0.0
216472.5	-0.7898	-0.9381	0.9381	-0.0442
216484.3	-0.49	0.2998	0.2998	0.0254
216507.2	0.1543	0.6443	0.6443	0.0281
216518.1	-0.3176	-0.4719	0.4719	-0.0433
216538.7	0.1483	0.4659	0.4659	0.0226
216548.8	-0.0079	-0.1562	0.1562	-0.0155
216569.0	0.1792	0.1871	0.1871	0.0093
216589.1	0.1592	-0.0201	0.0201	-0.001
216604.6	0.1404	-0.0188	0.0188	-0.0012
216615.0	-0.4866	-0.6269	0.6269	-0.0603
216635.1	-0.2029	0.2837	0.2837	0.0141
216655.5	0.1404	0.3432	0.3432	0.0168
216665.6	-0.2736	-0.414	0.414	-0.041
216685.3	0.1404	0.414	0.414	0.021
216705.8	0.1671	0.0267	0.0267	0.0013
216717.3	-0.2029	-0.3699	0.3699	-0.0322
216737.1	0.0693	0.2721	0.2721	0.0137
216747.5	-0.0261	-0.0954	0.0954	-0.0092
216773.3	-0.0261	0.0	0.0	0.0
216783.4	2.0691	2.0952	2.0952	0.2074
216803.0	0.5959	-1.4732	1.4732	-0.0752
216822.8	1.782	1.1861	1.1861	0.0599
216833.3	2.4891	0.7071	0.7071	0.0673
216852.8	-1.963	-4.4521	4.4521	-0.2283
216873.0	0.0856	2.0485	2.0485	0.1014
216883.3	-0.0086	-0.0941	0.0941	-0.0091
216903.7	0.4468	0.4553	0.4553	0.0223
216926.5	0.0091	-0.4377	0.4377	-0.0192
216937.6	0.002	-0.0071	0.0071	-0.0006
216948.0	-0.4679	-0.47	0.47	-0.0452
216967.5	0.4624	0.9303	0.9303	0.0477
216987.0	-0.0086	-0.4709	0.4709	-0.0241
217006.5	0.1404	0.1489	0.1489	0.0076
217016.7	0.1342	-0.0061	0.0061	-0.0006
217036.4	0.1992	0.065	0.065	0.0033
217056.5	-0.4399	-0.6391	0.6391	-0.0318
217072.3	-0.5069	-0.067	0.067	-0.0042
217082.5	-0.3865	0.1205	0.1205	0.0118
Max Range is: 2.6912186521375183
Mean Range is: -0.0020764791369337755
Peak Velocity is: 0.2074484807677369
Mean Velocity is: -0.0038074169946122785
